Model,Case_Directory,Mesh_Cells,Cores,yPlus_Min,yPlus_Max,yPlus_Avg,Delta_P_Pa,Delta_P_Blasius_Pa,Error_Rel_Pct,Execution_Time_s
kEpsilon,run_kEpsilon,40000,10,2.74,38.75,13.26,58.4625,131.1035,55.41,509.97
kOmegaSST,run_kOmegaSST,40000,10,1.71,38.73,12.27,41.3673,131.1035,68.45,589.41
