Model,Case_Directory,Mesh_Cells,Cores,yPlus_Min,yPlus_Max,yPlus_Avg,Delta_P_Pa,Delta_P_Blasius_Pa,Error_Rel_Pct,Execution_Time_s
kEpsilon,run_kEpsilon,110544,10,1.46,23.44,8.80,66.6407,50.2341,32.66,61.96
kOmegaSST,run_kOmegaSST,110544,10,0.64,19.77,7.63,53.6549,50.2341,6.81,69.25
